9V_IN	40.66	79.50	0.00	PINHD-1X03_1X03M	1X03
C1	17.03	77.72	90.00	3.3uF	CAPPRD254W65D500H1150B
C10	105.68	77.97	270.00	47nF	CAP-THRU-2.54MM
C10_DECP	117.62	83.31	90.00	10uF	CAPPRD254W65D500H1150B
C11	52.34	45.21	180.00	1uF	CAPPRD254W65D500H1150B
C11_DECP	103.14	37.87	270.00	100nF	CAP-THRU-2.54MM
C12	117.36	73.61	270.00	10nF	CAP-THRU-2.54MM
C12_DECP	97.81	37.87	90.00	10uF	CAPPRD254W65D500H1150B
C13	110.76	73.58	90.00	10nF	CAP-THRU-2.54MM
C14	137.68	62.73	180.00	1uF	CAPPRD254W65D500H1150B
C1_DECP	32.78	81.28	270.00	100nF	CAP-THRU-2.54MM
C2	55.13	78.48	270.00	100nF	CAP-THRU-2.54MM
C2_DECP	27.19	81.28	90.00	10uF	CAPPRD254W65D500H1150B
C3	48.78	78.48	90.00	10uF	CAPPRD254W65D500H1150B
C3_DECP	20.08	36.52	0.00	100nF	CAP-THRU-2.54MM
C4	59.96	67.05	90.00	47nF	CAP-THRU-2.54MM
C4_DECP	17.80	27.43	180.00	10uF	CAPPRD254W65D500H1150B
C5	40.43	53.62	180.00	47nF	CAP-THRU-2.54MM
C5_DECP	78.76	81.78	180.00	100nF	CAP-THRU-2.54MM
C6	12.97	53.59	90.00	1uF	CAPPRD254W65D500H1150B
C6_DECP	68.60	82.80	90.00	10uF	CAPPRD254W65D500H1150B
C7	88.15	68.20	180.00	22nF	CAP-THRU-2.54MM
C7_DECP	77.74	53.59	180.00	100nF	CAP-THRU-2.54MM
C8	88.15	64.26	0.00	10nF	CAP-THRU-2.54MM
C8_DECP	77.74	59.43	0.00	10uF	CAPPRD254W65D500H1150B
C9	91.71	77.97	270.00	47nF	CAP-THRU-2.54MM
C9_DECP	125.24	82.55	180.00	100nF	CAP-THRU-2.54MM
D1	29.73	44.95	270.00	DIODEDIODE-AXIAL	DIODE-AXIAL
D2	34.56	44.95	90.00	DIODEDIODE-AXIAL	DIODE-AXIAL
D3	71.39	74.06	90.00	DIODEDIODE-AXIAL	DIODE-AXIAL
D4	66.06	74.06	270.00	DIODEDIODE-AXIAL	DIODE-AXIAL
D5	131.59	81.78	90.00	DIODEDIODE-AXIAL	DIODE-AXIAL
D6	136.92	81.78	270.00	DIODEDIODE-AXIAL	DIODE-AXIAL
D7	40.00	16.40	90.00	RED	LED_BARGRAPH_10
D8	80.00	16.40	90.00	RED	LED_BARGRAPH_10
D9	120.00	16.40	90.00	RED	LED_BARGRAPH_10
R1	8.91	75.43	270.00	2.2k	RESAD724W46L381D178B
R10	53.10	63.06	0.00	8.2k	RESAD724W46L381D178B
R11	55.39	69.85	90.00	820	RESAD724W46L381D178B
